Timestamp_Min,Downlink_Throughput_Mbps,Uplink_Throughput_Mbps,Active_Users,Energy_Consumption_Watt,QoS_Drop_Rate_Fraction,External_Temp_C
0,30.0,6.3,16,1000.0,0.0007,24.5
1,30.2,6.8,17,1007.8,0.0004,24.5
2,64.0,13.4,17,1066.4,0.0007,24.5
3,35.4,9.3,10,1006.2,0.0002,24.5
4,49.5,10.0,21,1086.4,0.0006,24.5
5,57.9,13.9,14,1073.0,0.0006,24.5
6,50.1,9.4,26,1071.4,0.0007,24.6
7,50.1,9.6,24,1079.5,0.0004,24.6
8,59.7,11.5,12,1044.5,0.0001,24.6
9,57.6,10.3,26,1067.3,0.0009,24.6
10,44.9,8.2,19,1062.3,0.0001,24.6
11,40.8,6.5,12,1027.2,0.0009,24.6
12,64.5,14.0,16,1128.1,0.0006,24.7
13,58.9,11.8,21,1057.7,0.0004,24.7
14,43.4,7.7,15,1028.7,0.0001,24.7
15,48.7,10.9,17,1045.0,0.0005,24.7
16,40.7,9.7,10,995.7,0.0006,24.7
17,39.3,6.2,15,1010.3,0.0003,24.7
18,63.7,12.6,15,1104.5,0.0008,24.8
19,50.4,8.8,12,1046.3,0.0001,24.8
20,51.4,8.9,20,1091.5,0.0005,24.8
21,33.7,6.5,10,1014.3,0.0008,24.8
22,61.3,12.6,18,1107.5,0.0006,24.8
23,41.2,7.5,10,1023.7,0.0005,24.8
24,55.7,10.9,21,1090.2,0.0009,24.9
25,70.5,14.4,28,1129.8,0.001,24.9
26,72.0,14.5,26,1143.9,0.0008,24.9
27,47.5,9.7,18,1044.1,0.0002,24.9
28,34.6,7.5,11,975.1,0.0001,24.9
29,58.1,11.6,17,1111.4,0.0006,24.9
30,69.0,13.1,29,1115.7,0.0007,25.0
31,38.5,7.2,15,989.1,0.0002,25.0
32,59.9,11.6,26,1128.9,0.0006,25.0
33,50.1,10.3,25,1054.5,0.0001,25.0
34,59.5,10.3,24,1065.3,0.0002,25.0
35,40.7,8.0,15,1036.7,0.0001,25.0
36,48.7,10.3,16,1061.8,0.0008,25.1
37,65.4,13.1,19,1111.8,0.0001,25.1
38,56.1,11.7,15,1102.1,0.0005,25.1
39,43.2,9.1,16,1059.6,0.0003,25.1
40,42.6,8.9,20,1058.9,0.0008,25.1
41,56.6,11.5,16,1020.0,0.0009,25.2
42,56.3,12.0,25,1055.5,0.001,25.2
43,53.2,11.5,18,1073.3,0.0006,25.2
44,50.8,10.5,14,1063.8,0.0003,25.2
45,31.9,5.6,13,1011.3,0.0006,25.2
46,72.5,14.9,33,1117.0,0.0009,25.2
47,54.4,11.4,16,1072.3,0.0009,25.3
48,44.0,9.6,16,1023.2,0.0006,25.3
49,66.1,13.1,23,1092.4,0.0004,25.3
50,60.5,12.8,16,1041.4,0.0004,25.3
51,67.8,13.8,17,1077.5,0.0008,25.3
52,49.0,9.5,24,1107.0,0.0003,25.4
53,53.9,9.7,27,1098.4,0.0005,25.4
54,45.0,8.6,15,1045.3,0.0008,25.4
55,65.8,11.9,18,1063.4,0.0007,25.4
56,68.6,13.1,22,1099.6,0.0001,25.4
57,52.6,11.4,27,1083.2,0.0002,25.4
58,62.4,11.0,20,1077.7,0.0009,25.5
59,70.5,15.4,31,1149.7,0.0008,25.5
60,62.2,13.9,16,1064.7,0.0009,25.5
61,65.3,14.1,19,1088.2,0.0004,25.5
62,60.2,11.3,29,1125.8,0.0002,25.5
63,50.3,9.9,16,1071.1,0.0003,25.6
64,68.2,13.9,16,1102.3,0.0001,25.6
65,55.5,10.1,10,1019.5,0.0006,25.6
66,63.5,11.8,17,1118.2,0.0008,25.6
67,38.0,10.1,22,1052.4,0.0003,25.6
68,66.0,13.4,19,1094.2,0.0007,25.7
69,78.3,17.4,23,1111.1,0.0009,25.7
70,81.9,15.9,23,1167.2,0.0004,25.7
71,63.6,11.7,29,1117.9,0.0006,25.7
72,76.3,16.0,27,1170.7,0.0009,25.7
73,74.6,15.9,24,1116.3,0.0005,25.7
74,68.1,13.7,20,1080.0,0.0003,25.8
75,79.5,15.5,23,1131.9,0.0004,25.8
76,67.1,13.1,26,1132.4,0.0005,25.8
77,85.9,17.4,30,1126.8,0.0009,25.8
78,64.5,14.0,26,1117.8,0.0008,25.8
79,64.1,14.3,20,1092.7,0.0008,25.9
80,52.2,10.2,20,1054.9,0.0001,25.9
81,60.2,12.7,32,1111.7,0.0003,25.9
82,51.6,10.3,13,1026.7,0.0006,25.9
83,74.2,14.0,28,1140.1,0.0009,25.9
84,55.5,10.4,30,1067.8,0.0003,26.0
85,71.8,15.4,33,1145.6,0.001,26.0
86,62.0,10.7,25,1124.9,0.0002,26.0
87,79.9,16.4,34,1133.8,0.0002,26.0
88,63.7,11.3,22,1152.3,0.0006,26.0
89,56.6,11.2,27,1086.9,0.0006,26.1
90,56.7,10.8,21,1066.0,0.0006,26.1
91,81.5,16.7,33,1140.9,0.001,26.1
92,90.5,17.6,36,1187.0,0.0009,26.1
93,69.1,13.8,14,1102.1,0.0006,26.1
94,70.6,14.2,21,1093.1,0.0005,26.2
95,85.3,14.5,26,1142.1,0.0003,26.2
96,52.1,10.4,19,1043.5,0.0002,26.2
97,72.6,15.0,20,1111.6,0.0001,26.2
98,59.6,12.7,16,1095.8,0.0003,26.2
99,73.6,13.1,23,1094.8,0.0003,26.3
100,64.7,12.2,34,1135.9,0.0002,26.3
101,85.1,17.0,35,1139.2,0.0006,26.3
102,55.1,10.1,22,1053.7,0.0008,26.3
103,87.0,15.9,30,1163.0,0.0009,26.4
104,65.7,13.0,15,1106.6,0.0009,26.4
105,54.7,12.0,25,1092.4,0.0006,26.4
106,102.5,19.3,35,1258.5,0.0002,26.4
107,75.2,14.5,16,1111.0,0.0002,26.4
108,69.0,14.6,26,1129.1,0.0007,26.5
109,74.0,13.5,24,1144.1,0.0002,26.5
110,68.6,14.7,29,1114.0,0.0006,26.5
111,68.3,14.8,23,1129.4,0.0003,26.5
112,83.5,15.7,31,1195.0,0.0001,26.5
113,65.5,13.1,13,1096.4,0.0007,26.6
114,84.3,16.1,28,1175.5,0.0004,26.6
115,94.7,19.2,34,1194.2,0.0003,26.6
116,78.7,14.5,31,1184.6,0.0006,26.6
117,77.4,15.5,17,1124.4,0.0009,26.6
118,88.2,17.8,31,1186.2,0.0004,26.7
119,79.0,15.0,24,1133.1,0.001,26.7
120,85.8,17.0,31,1184.6,0.0006,26.7
121,90.9,17.2,31,1151.5,0.0005,26.7
122,101.2,19.5,22,1216.0,0.0002,26.7
123,79.1,15.4,22,1088.0,0.0008,26.8
124,73.3,14.4,28,1140.2,0.0008,26.8
125,86.7,15.8,28,1146.6,0.0002,26.8
126,97.6,20.1,38,1196.1,0.0002,26.8
127,61.2,12.2,22,1095.4,0.0008,26.9
128,95.7,19.6,33,1195.0,0.0006,26.9
129,90.4,17.3,33,1218.2,0.0006,26.9
130,79.9,15.8,29,1171.1,0.0004,26.9
131,110.0,21.0,37,1247.3,0.0003,26.9
132,83.2,16.5,19,1149.1,0.001,27.0
133,89.5,17.8,29,1152.2,0.0004,27.0
134,106.9,22.3,35,1198.0,0.0003,27.0
135,100.0,21.2,33,1212.9,0.0007,27.0
136,98.3,19.5,32,1178.2,0.0008,27.0
137,84.3,16.0,28,1161.4,0.0005,27.1
138,93.5,18.0,37,1183.4,0.0001,27.1
139,84.3,14.4,28,1130.3,0.0003,27.1
140,99.6,19.7,35,1222.8,0.0003,27.1
141,90.0,17.8,28,1189.6,0.0007,27.2
142,83.3,15.2,21,1157.3,0.0003,27.2
143,86.1,18.0,21,1145.9,0.0009,27.2
144,91.5,18.5,39,1192.5,0.0009,27.2
145,119.4,20.9,39,1291.7,0.0006,27.2
146,105.6,21.2,49,1241.8,0.0003,27.3
147,93.7,18.3,25,1188.0,0.0007,27.3
148,104.0,20.0,35,1184.4,0.0006,27.3
149,105.6,19.4,37,1235.6,0.0003,27.3
150,90.2,16.3,32,1213.6,0.0003,27.3
151,116.3,23.2,43,1280.9,0.0005,27.4
152,103.1,21.3,40,1232.5,0.0001,27.4
153,101.1,19.9,41,1237.8,0.0009,27.4
154,117.6,25.2,38,1256.8,0.0002,27.4
155,119.6,24.5,32,1240.3,0.0005,27.5
156,100.7,21.2,34,1246.2,0.0005,27.5
157,99.1,20.5,36,1238.9,0.0009,27.5
158,93.8,18.6,29,1174.1,0.0004,27.5
159,92.8,18.4,27,1151.9,0.0007,27.5
160,105.9,22.9,31,1200.8,0.0003,27.6
161,106.2,22.8,39,1234.3,0.0003,27.6
162,103.9,23.4,33,1209.9,0.0006,27.6
163,119.9,25.4,36,1253.3,0.0004,27.6
164,123.2,25.1,44,1299.5,0.0003,27.7
165,111.5,21.3,36,1253.1,0.0005,27.7
166,95.8,20.5,33,1165.7,0.0002,27.7
167,112.0,22.8,35,1240.3,0.001,27.7
168,102.0,19.6,26,1203.3,0.0006,27.7
169,124.7,23.1,50,1316.7,0.0005,27.8
170,112.7,23.0,37,1255.8,0.001,27.8
171,91.8,20.4,32,1203.1,0.0006,27.8
172,107.0,20.6,34,1220.5,0.0005,27.8
173,116.2,24.2,32,1258.4,0.0005,27.8
174,125.9,25.1,39,1285.0,0.0001,27.9
175,120.1,24.1,46,1270.9,0.0004,27.9
176,126.9,25.1,43,1269.8,0.0007,27.9
177,129.9,26.5,44,1274.7,0.0003,27.9
178,114.1,23.2,51,1260.8,0.0008,28.0
179,127.5,27.0,42,1283.8,0.0005,28.0
180,131.3,24.5,46,1320.6,0.0001,28.0
181,128.7,27.4,42,1286.2,0.0004,28.0
182,125.9,25.5,48,1289.6,0.0007,28.0
183,138.5,27.6,58,1350.1,0.0002,28.1
184,126.4,25.0,38,1275.5,0.0008,28.1
185,118.9,25.6,37,1277.6,0.0005,28.1
186,120.4,23.9,40,1266.3,0.0008,28.1
187,131.6,27.4,44,1332.6,0.0008,28.2
188,136.0,25.5,42,1279.6,0.0001,28.2
189,146.1,29.8,47,1349.0,0.0005,28.2
190,115.6,23.0,40,1244.3,0.0008,28.2
191,118.7,24.9,35,1264.7,0.0003,28.2
192,128.1,24.9,40,1265.9,0.0006,28.3
193,135.1,28.3,41,1317.3,0.0009,28.3
194,119.7,21.7,47,1313.1,0.0007,28.3
195,142.2,28.4,48,1322.5,0.0004,28.3
196,133.8,26.9,37,1304.3,0.0005,28.3
197,132.0,27.0,51,1315.0,0.001,28.4
198,151.9,30.8,48,1375.3,0.0002,28.4
199,130.3,26.7,40,1305.8,0.0004,28.4
200,135.5,26.9,48,1337.5,0.0004,28.4
201,132.9,26.0,47,1298.3,0.0002,28.5
202,128.5,25.2,33,1286.7,0.0008,28.5
203,154.8,32.2,62,1366.5,0.0004,28.5
204,142.1,27.9,46,1349.9,0.0006,28.5
205,147.2,29.8,46,1363.2,0.0005,28.5
206,146.2,28.4,50,1380.5,0.0003,28.6
207,151.0,30.6,36,1324.6,0.0002,28.6
208,143.4,27.2,48,1320.8,0.0009,28.6
209,149.9,30.6,45,1363.8,0.0007,28.6
210,149.0,30.9,50,1368.0,0.0006,28.7
211,140.2,29.1,42,1333.1,0.001,28.7
212,150.7,31.0,50,1395.8,0.0009,28.7
213,151.5,30.2,46,1370.1,0.0009,28.7
214,148.9,28.9,46,1352.6,0.0004,28.7
215,130.2,25.8,43,1333.9,0.0006,28.8
216,161.8,31.1,59,1432.9,0.0005,28.8
217,142.2,28.3,55,1333.0,0.0002,28.8
218,160.3,30.4,49,1381.2,0.0003,28.8
219,162.9,32.5,60,1408.3,0.0001,28.8
220,166.9,33.8,67,1424.7,0.0002,28.9
221,150.1,29.2,51,1370.7,0.001,28.9
222,148.8,29.9,60,1382.0,0.0001,28.9
223,174.9,36.2,50,1437.6,0.0005,28.9
224,160.0,32.8,52,1427.2,0.0008,29.0
225,166.5,33.0,53,1412.9,0.0007,29.0
226,141.0,27.5,45,1369.3,0.0001,29.0
227,176.8,35.4,66,1491.5,0.0001,29.0
228,144.2,28.7,51,1353.6,0.0004,29.0
229,150.0,29.3,60,1405.4,0.0007,29.1
230,170.8,33.8,54,1438.8,0.0009,29.1
231,146.2,27.9,49,1346.4,0.001,29.1
232,155.1,30.4,52,1374.8,0.0001,29.1
233,160.8,31.8,52,1382.2,0.0005,29.1
234,183.9,37.2,64,1444.9,0.0003,29.2
235,169.1,32.0,58,1411.0,0.0005,29.2
236,182.0,35.3,64,1485.5,0.0007,29.2
237,167.2,33.6,58,1449.1,0.0002,29.2
238,167.9,33.9,50,1418.9,0.0008,29.3
239,181.2,35.6,53,1466.6,0.0006,29.3
240,174.9,34.1,58,1451.7,0.0007,29.3
241,169.7,33.4,51,1356.1,0.0008,29.3
242,197.5,40.2,66,1529.4,0.0005,29.3
243,183.1,37.1,65,1464.6,0.0009,29.4
244,159.8,31.9,52,1377.9,0.0003,29.4
245,180.4,36.7,56,1458.5,0.0008,29.4
246,178.1,35.4,56,1428.4,0.0009,29.4
247,183.4,38.1,67,1509.7,0.0007,29.4
248,198.9,39.3,60,1525.1,0.0008,29.5
249,187.6,37.3,56,1483.7,0.0004,29.5
250,181.4,36.0,62,1477.0,0.0004,29.5
251,186.2,37.5,67,1471.8,0.0004,29.5
252,202.9,41.0,66,1509.1,0.0004,29.5
253,174.7,34.3,58,1416.3,0.0005,29.6
254,199.7,39.9,71,1536.8,0.0008,29.6
255,173.2,36.1,44,1414.5,0.0007,29.6
256,190.4,38.1,69,1530.5,0.0004,29.6
257,195.9,40.8,67,1508.7,0.0009,29.6
258,203.4,41.2,69,1524.3,0.0003,29.7
259,191.2,38.1,59,1461.7,0.0004,29.7
260,201.8,39.6,59,1466.9,0.0008,29.7
261,207.1,40.1,62,1574.6,0.0004,29.7
262,184.4,38.1,61,1454.9,0.0006,29.8
263,211.5,41.3,74,1519.1,0.0002,29.8
264,206.2,41.5,71,1562.0,0.0008,29.8
265,189.6,36.9,61,1458.2,0.0005,29.8
266,187.8,37.1,67,1468.7,0.0006,29.8
267,208.5,41.0,62,1526.0,0.0008,29.9
268,209.6,41.4,70,1572.2,0.0008,29.9
269,191.6,39.0,58,1486.1,0.0003,29.9
270,191.6,40.6,58,1502.8,0.0007,29.9
271,220.5,42.3,75,1618.0,0.0007,29.9
272,205.8,42.7,70,1546.6,0.0005,30.0
273,188.0,36.2,60,1472.6,0.001,30.0
274,208.7,41.3,73,1554.5,0.0007,30.0
275,206.2,42.8,70,1569.9,0.0006,30.0
276,210.8,42.5,72,1559.0,0.0001,30.0
277,210.4,42.3,80,1584.3,0.0006,30.1
278,209.2,42.1,76,1570.9,0.0004,30.1
279,203.7,40.2,62,1515.6,0.0004,30.1
280,212.5,42.5,62,1549.0,0.0006,30.1
281,195.0,38.3,59,1499.6,0.0002,30.1
282,221.6,45.2,79,1590.6,0.001,30.2
283,208.0,41.8,65,1505.7,0.0007,30.2
284,203.7,39.9,68,1523.9,0.0004,30.2
285,224.6,46.7,76,1604.4,0.0005,30.2
286,213.0,41.0,80,1564.2,0.0006,30.2
287,220.1,43.6,75,1578.3,0.0005,30.3
288,219.7,44.6,75,1587.8,0.0002,30.3
289,220.8,42.9,68,1565.5,0.0009,30.3
290,225.7,44.5,63,1545.7,0.0007,30.3
291,229.5,45.6,78,1601.2,0.0004,30.3
292,216.3,42.4,70,1555.4,0.0008,30.3
293,216.9,44.7,63,1570.4,0.0005,30.4
294,226.7,45.1,86,1641.8,0.0004,30.4
295,238.7,47.2,81,1652.5,0.0003,30.4
296,224.5,45.8,70,1577.7,0.0001,30.4
297,237.2,46.6,83,1650.5,0.0002,30.4
298,228.6,44.9,76,1653.3,0.001,30.5
299,235.3,48.4,72,1617.1,0.001,30.5
300,235.5,47.4,89,1658.9,0.0009,30.5
301,237.8,47.5,77,1624.1,0.0005,30.5
302,237.8,49.1,83,1670.4,0.0002,30.5
303,227.1,45.3,81,1618.1,0.0008,30.6
304,242.4,50.2,79,1644.5,0.0004,30.6
305,221.8,45.5,78,1588.4,0.0009,30.6
306,229.9,46.8,68,1601.0,0.0004,30.6
307,234.5,46.4,76,1596.2,0.0009,30.6
308,240.2,48.6,76,1634.4,0.0007,30.6
309,249.1,49.1,87,1690.4,0.0004,30.7
310,253.4,51.6,82,1651.8,0.0004,30.7
311,243.2,48.1,76,1628.5,0.0003,30.7
312,258.6,50.8,88,1750.0,0.0003,30.7
313,254.0,50.3,86,1674.0,0.0006,30.7
314,256.5,51.9,82,1683.5,0.0009,30.8
315,258.7,52.0,85,1715.3,0.0008,30.8
316,255.8,51.0,89,1693.3,0.0008,30.8
317,259.9,51.2,94,1699.2,0.0002,30.8
318,258.4,50.7,83,1678.3,0.0002,30.8
319,257.4,51.9,94,1755.2,0.0006,30.8
320,246.2,48.8,82,1640.0,0.0008,30.9
321,260.1,51.3,90,1721.7,0.0001,30.9
322,254.1,50.8,85,1661.3,0.0002,30.9
323,262.3,53.8,83,1699.4,0.0007,30.9
324,272.7,53.8,98,1747.3,0.0009,30.9
325,267.7,52.0,82,1704.6,0.0009,31.0
326,264.5,52.8,87,1737.3,0.0004,31.0
327,249.2,50.0,84,1644.5,0.0003,31.0
328,244.6,49.8,78,1643.6,0.0003,31.0
329,266.7,54.3,100,1770.1,0.0002,31.0
330,270.0,54.4,84,1718.6,0.0008,31.0
331,267.6,52.7,93,1749.7,0.0006,31.1
332,257.0,50.0,83,1678.1,0.0006,31.1
333,281.8,57.2,97,1784.6,0.0005,31.1
